_id,_labels,name,BetweennessCentrality,ClosenessCentrality,DegreeCentrality,EigenCentrality,hitsauth,hitshub,pagerank
0,:Head,union body,10.833333333333334,1,6,0.006010567,2.7046285721074746E-14,0.008493626,0.29875000000000007
1,:Head,draft budget,16.166666666666668,1,18,0.003055867,1.5166468343013294E-13,0.2066840195943532,0.16593750000000002
2,:Head,introduction draw union institution concern,8.666666666666666,1,10,0.003055867,1.5166468343013294E-13,0.1042863930640484,0.16593750000000002
3,:Head,summary datum,2.666666666666667,1,4,0.003055867,1.5166468343013294E-13,0.081613955,0.16593750000000002
4,:Head,publicprivate partnership,4.333333333333333,1,6,0.003055867,1.5166468343013294E-13,0.010075130221845576,0.16593750000000002
5,:Head,information relate instrument,0.8333333333333333,1,2,0.003055867,1.5166468343013294E-13,0.007433285,0.16593750000000002
6,:Head,duration,3,1,3,0.003055867,1.5166468343013294E-13,6.342397976292344E-22,0.16593750000000002
7,:Head,work document refer subparagraph,7.5,1,8,0.003055867,1.5166468343013294E-13,0.038099873,0.16593750000000002
8,:Head,work document,5.833333333333333,1,7,0.003055867,1.5166468343013294E-13,0.018653240917744836,0.16593750000000002
9,:Head,conciliation committee,1,1,1,0.003055867,5.517529041030978E-25,5.76846813516892E-4,0.21375000000000002
10,:Head,letter,3,1,3,0.003055867,5.517529041030978E-25,6.342397976292344E-22,0.21375000000000002
11,:Head,draft amend budget,1.5,1,2,0.003055867,5.517529041030978E-25,0.030565149,0.21375000000000002
12,:Head,amend budget,6.5,1,7,0.003055867,5.517529041030978E-25,0.00153518,0.21375000000000002
13,:Head,provision,4,1,4,0.003055867,1.05238514729137E-30,6.336370212135678E-4,0.2775
14,:Head,title,3,1,3,0.003055867,1.05238514729137E-30,6.342397976292344E-22,0.2775
15,:Head,budget,62,1,32,0.006010567,2.779691324109546E-14,0.9604375918153982,0.23500000000000004
16,:Head,resource pay decision 2014335eu euratom,3.5,1,4,0.003055867,4.567846651219696E-15,0.04396827,0.21375000000000002
17,:Head,section budget,0.5,1,1,0.003055867,1.1140043242140745E-14,4.6267499178905855E-5,0.17550000000000002
18,:Head,appropriation,2,1,3,0.003055867,1.1140043242140745E-14,0.001502439,0.17550000000000002
19,:Head,basic act,8,1,9,0.003055867,1.1140043242140745E-14,0.045737368,0.17550000000000002
20,:Head,adoption basic act,4,1,5,0.003055867,1.1140043242140745E-14,0.002495169,0.17550000000000002
21,:Head,european parliament council,10.333333333333332,1,6,0.006010567,3.436910983201651E-14,0.007109335,0.19675000000000004
22,:Head,section budget relate commission,12,1,6,0.006010567,1.7425408107481078E-22,6.650486300388724E-16,0.34125000000000005
23,:Head,reserve shall enter separate title,1,1,1,0.003055867,1.0769494478261287E-22,0.029576620930471854,0.21375000000000002
24,:Head,establishment plan,11.5,1,6,0.006010567,2.8915002593643664E-14,0.050607512997253995,0.21375000000000002
25,:Head,budget line,1,1,1,0.003055867,2.3229066589875765E-14,1.8189819750465106E-31,0.17125
26,:Head,line,3.3333333333333335,1,5,0.003055867,2.3229066589875765E-14,0.071034489,0.17125
27,:Head,appointment shall excess limit set,2,1,2,0.003055867,5.6859360037679004E-15,1.90734084346637E-25,0.19250000000000003
28,:Head,modification,1,1,1,0.003055867,5.6859360037679004E-15,1.8189819750465106E-31,0.19250000000000003
29,:Head,implementation union act,4,1,4,0.003055867,1.05238514729137E-30,0.042108823167990035,0.2775
30,:Tail,31-Jan,0,0.6,0,0.082943913,0.001468075,0,0.19232291666666668
31,:Tail,article,0,0.6666666666666666,0,0.29448282732955167,0.003337389,0,0.49068708333333333
32,:Tail,accordance,0,0.6666666666666666,0,0.16874135876817867,0.009804764,0,0.2387329166666667
33,:Tail,instrument,0,0.625,0,0.12584263606263196,0.003209536,0,0.2158307291666667
34,:Tail,summary general statement,0,0.6666666666666666,0,0.04299989,0.035724420430694376,0,0.15783593750000002
35,:Tail,revenue,0,0.6666666666666666,0,0.16874135876817867,0.20932962768039665,0,0.20950000000000002
36,:Tail,expenditure,0,0.7,0,0.21164008147372532,0.23386174791698727,0,0.21344453125000004
37,:Tail,union,0,0.625,0,0.12584263606263196,0.20172996630410206,0,0.16407812500000002
38,:Tail,different estimate,0,0.6666666666666666,0,0.04299989,0.035724420430694376,0,0.15783593750000002
39,:Tail,union institution,0,0.6666666666666666,0,0.04299989,0.035724420430694376,0,0.15783593750000002
